=== Aim Trainer v1.0 CSV Results Dump - Made by CafeFPS @CafeFPS === 

ChallengeName, ShotsHit, Kills, Weapon, Accuracy, Damage, CriticalShots, TotalShots, Roundtime 
STRAFING DUMMY, 490, 0, R-99, 45.49%, 6406, 32, 1077, 60
STRAFING DUMMY, 486, 0, R-99, 45.42%, 6318, 25, 1070, 60
STRAFING DUMMY, 486, 0, R-99, 45.42%, 6318, 25, 1070, 60
STRAFING DUMMY, 527, 0, R-99, 49.29%, 6938, 45, 1069, 60
STRAFING DUMMY, 527, 0, R-99, 49.29%, 6938, 45, 1069, 60
STRAFING DUMMY, 515, 0, R-99, 47.99%, 6740, 33, 1073, 60
STRAFING DUMMY, 515, 0, R-99, 47.99%, 6740, 33, 1073, 60
STRAFING DUMMY, 534, 0, R-99, 49.95%, 6951, 35, 1069, 60
STRAFING DUMMY, 486, 0, R-99, 45.29%, 6375, 38, 1073, 60
STRAFING DUMMY, 489, 0, R-99, 45.78%, 6357, 39, 1068, 60
STRAFING DUMMY, 489, 0, R-99, 45.78%, 6357, 39, 1068, 60
STRAFING DUMMY, 461, 0, R-99, 43.36%, 6104, 41, 1063, 60
STRAFING DUMMY, 461, 0, R-99, 43.36%, 6104, 41, 1063, 60
STRAFING DUMMY, 485, 0, R-99, 45.03%, 6377, 31, 1077, 60
STRAFING DUMMY, 485, 0, R-99, 45.03%, 6377, 31, 1077, 60
STRAFING DUMMY, 409, 0, R-99, 38.26%, 5407, 38, 1069, 60
STRAFING DUMMY, 409, 0, R-99, 38.26%, 5407, 38, 1069, 60
STRAFING DUMMY, 456, 0, R-99, 42.45%, 5913, 21, 1074, 60
STRAFING DUMMY, 456, 0, R-99, 42.45%, 5913, 21, 1074, 60
STRAFING DUMMY, 403, 0, R-99, 36.83%, 5182, 24, 1094, 60
STRAFING DUMMY, 403, 0, R-99, 36.83%, 5182, 24, 1094, 60
STRAFING DUMMY, 477, 0, R-99, 44.53%, 6252, 39, 1071, 60
STRAFING DUMMY, 477, 0, R-99, 44.53%, 6252, 39, 1071, 60
STRAFING DUMMY, 446, 0, R-99, 42.15%, 5852, 30, 1058, 60
STRAFING DUMMY, 446, 0, R-99, 42.15%, 5852, 30, 1058, 60
STRAFING DUMMY, 476, 0, R-99, 44.36%, 6161, 17, 1073, 60
STRAFING DUMMY, 459, 0, R-99, 42.89%, 5826, 20, 1070, 60
STRAFING DUMMY, 459, 0, R-99, 42.89%, 5826, 20, 1070, 60
STRAFING DUMMY, 457, 0, R-99, 42.51%, 6022, 43, 1075, 60
STRAFING DUMMY, 457, 0, R-99, 42.51%, 6022, 43, 1075, 60
STRAFING DUMMY, 474, 0, R-99, 44.17%, 6174, 29, 1073, 60
STRAFING DUMMY, 474, 0, R-99, 44.17%, 6174, 29, 1073, 60
STRAFING DUMMY, 0, 0, Wingman, -na,n(i,nd).-n%, 0, 0, 0, 60
